,County,CPM_rate,CPM_number
0,Alameda,14.1,229400.0
1,Alpine,13.2,23700.0
2,Amador,13.2,23700.0
3,Butte,17.9,39000.0
4,Calaveras,13.2,23700.0
5,Colusa,14.3,17800.0
6,Contra Costa,13.8,156900.0
7,Del Norte,12.8,14900.0
8,El Dorado,10.4,19700.0
9,Fresno,17.2,167600.0
10,Glenn,14.3,17800.0
11,Humboldt,19.5,25600.0
12,Imperial,19.5,33400.0
13,Inyo,13.2,23700.0
14,Kern,16.7,145000.0
15,Kings,14.3,19700.0
16,Lake,15.8,23400.0
17,Lassen,12.8,14900.0
18,Los Angeles,20.8,2061100.0
19,Madera,18.5,27500.0
20,Marin,15.8,39900.0
21,Mariposa,13.2,23700.0
22,Mendocino,15.8,23400.0
23,Merced,13.4,35800.0
24,Modoc,12.8,14900.0
25,Mono,13.2,23700.0
26,Monterey,17.3,83000.0
27,Napa,13.7,18600.0
28,Nevada,17.3,17500.0
29,Orange,19.1,595800.0
30,Placer,11.5,44500.0
31,Plumas,12.8,14900.0
32,Riverside,16.1,388300.0
33,Sacramento,14.8,224500.0
34,San Benito,17.3,83000.0
35,San Bernardino,15.3,323700.0
36,San Diego,17.8,576600.0
37,San Francisco,17.0,146500.0
38,San Joaquin,15.4,113000.0
39,San Luis Obispo,15.5,40800.0
40,San Mateo,15.1,114700.0
41,Santa Barbara,20.7,87200.0
42,Santa Clara,14.3,271500.0
43,Santa Cruz,17.0,44000.0
44,Shasta,15.9,28000.0
45,Sierra,17.3,17500.0
46,Siskiyou,12.8,14900.0
47,Solano,11.8,51500.0
48,Sonoma,14.4,70700.0
49,Stanislaus,14.4,78200.0
50,Sutter,11.9,20500.0
51,Tehama,14.3,17800.0
52,Trinity,13.2,17800.0
53,Tulare,14.3,75600.0
54,Tuolumne,16.4,23700.0
55,Ventura,16.3,136000.0
56,Yolo,20.9,42100.0
57,Yuba,11.9,20500.0
58,,,
59,,,
