,CTYNAME,pop2021,GrowthRate,popDensity
0,Los Angeles ,9969510,1.4889,2456.6933
1,San Diego ,3347270,7.8648,795.7052
2,Orange ,3175130,5.3052,4015.098
3,Riverside ,2520060,14.466,349.698
4,San Bernardino ,2206750,8.129,110.0236
5,Santa Clara ,1918880,7.4377,1487.2541
6,Alameda ,1680480,11.0701,2273.707
7,Sacramento ,1578680,11.0667,1636.0392
8,Contra Costa ,1159540,10.1659,1604.3605
9,Fresno ,1013400,8.7294,170.0672
10,Kern ,913090,8.5725,112.2839
11,San Francisco ,883255,9.6523,18835.0164
12,Ventura ,841734,2.0164,456.7163
13,San Joaquin ,781462,13.7289,561.6469
14,San Mateo ,762357,5.9272,1699.8905
15,Stanislaus ,555728,7.878,371.8362
16,Sonoma ,485722,0.1995,308.2309
17,Tulare ,469407,5.9684,97.3013
18,Solano ,451479,9.0616,549.3969
19,Santa Barbara ,447937,5.588,163.7723
20,Monterey ,434283,4.3014,132.3789
21,Placer ,410327,17.2293,291.615
22,Merced ,284738,10.9134,147.1539
23,San Luis Obispo ,282625,4.7527,85.628
24,Santa Cruz ,271957,3.3479,610.9153
25,Marin ,257154,1.6805,494.059
26,Yolo ,221264,10.0416,218.0442
27,El Dorado ,197037,8.7785,115.3679
28,Butte ,196880,-10.4883,120.3082
29,Shasta ,180822,2.0014,47.895
30,Imperial ,180599,3.3672,43.2405
31,Madera ,158217,4.7892,74.0336
32,Kings ,156056,2.4191,112.3173
33,Napa ,135654,-0.808,181.2666
34,Humboldt ,134186,-0.6096,37.6085
35,Nevada ,100249,1.4769,104.6681
36,Sutter ,98217,3.658,163.0399
37,Mendocino ,85445,-2.6811,24.3686
38,Yuba ,80890,11.8068,127.9818
39,Tehama ,67216,5.7537,22.7873
40,San Benito ,65490,17.966,47.1589
41,Lake ,64524,-0.3259,51.3527
42,Tuolumne ,54660,-0.9603,24.6116
43,Calaveras ,46319,1.8716,45.4102
44,Siskiyou ,43517,-3.1621,6.9318
45,Amador ,40446,6.7571,68.0248
46,Lassen ,30483,-12.4831,6.7126
47,Glenn ,29245,3.9748,22.2574
48,Del Norte ,27956,-2.1354,27.7812
49,Colusa ,21805,1.7167,18.9489
50,Plumas ,18939,-4.8961,7.4182
51,Inyo ,18225,-1.545,1.7901
52,Mariposa ,16799,-8.0867,11.595
53,Mono ,14526,1.8868,4.7643
54,Trinity ,11721,-14.7874,3.6867
55,Modoc ,8923,-7.9534,2.2789
56,Sierra ,3021,-6.1801,3.1694
57,Alpine ,1209,4.1344,1.6375
